gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.13,4,1
1,expedited,1,2,0.13,4,1
1,expedited,1,3,0.18,4,1
1,expedited,1,4,0.17,4,1
1,expedited,1,5,0.13,4,1
1,expedited,1,6,0.17,4,1
1,expedited,1,7,0.17,4,1
1,expedited,1,8,0.12,4,1
1,expedited,1,9,0.18,4,1
1,expedited,1,10,0.17,4,1
1,expedited,1,11,0.19,4,1
1,expedited,1,12,0.13,4,1
1,expedited,1,13,0.13,4,1
1,expedited,1,14,0.20,4,1
1,expedited,1,15,0.20,4,1
1,expedited,1,16,0.18,4,1
1,expedited,1,17,0.19,4,1
1,expedited,1,18,0.13,4,1
1,expedited,1,19,0.14,4,1
1,expedited,1,20,0.18,4,1
1,expedited,1,21,0.18,4,1
1,expedited,1,22,0.17,4,1
1,expedited,1,23,0.14,4,1
1,expedited,1,24,0.13,4,1
1,expedited,1,25,0.17,4,1
1,expedited,1,26,0.19,4,1
1,expedited,1,27,0.18,4,1
1,expedited,1,28,0.15,4,1
1,expedited,1,29,0.17,4,1
1,expedited,1,30,0.18,4,1
1,expedited,1,31,0.18,4,1
1,expedited,1,32,0.19,4,1
1,expedited,1,33,0.14,4,1
1,expedited,1,34,0.17,4,1
1,expedited,1,35,0.17,4,1
1,expedited,1,36,0.12,4,1
1,expedited,1,37,0.12,4,1
1,expedited,1,38,0.13,4,1
1,expedited,1,39,0.18,4,1
1,expedited,1,40,0.12,4,1
2,expedited,1,1,0.18,5,2
2,expedited,1,2,0.18,5,2
2,expedited,1,3,0.14,5,2
2,expedited,1,4,0.19,6,2
2,expedited,1,5,0.16,6,2
2,expedited,1,6,0.20,6,2
2,expedited,1,7,0.18,5,2
2,expedited,1,8,0.18,6,2
2,expedited,1,9,0.19,5,2
2,expedited,1,10,0.19,6,2
2,expedited,1,11,0.18,5,2
2,expedited,1,12,0.17,5,2
2,expedited,1,13,0.18,5,2
2,expedited,1,14,0.12,5,2
2,expedited,1,15,0.18,6,2
2,expedited,1,16,0.19,5,2
2,expedited,1,17,0.17,5,2
2,expedited,1,18,0.18,5,2
2,expedited,1,19,0.17,5,2
2,expedited,1,20,0.14,5,2
2,expedited,1,21,0.17,5,2
2,expedited,1,22,0.19,5,2
2,expedited,1,23,0.18,5,2
2,expedited,1,24,0.18,5,2
2,expedited,1,25,0.17,6,2
2,expedited,1,26,0.19,5,2
2,expedited,1,27,0.17,5,2
2,expedited,1,28,0.12,5,2
2,expedited,1,29,0.16,5,2
2,expedited,1,30,0.17,5,2
2,expedited,1,31,0.13,5,2
2,expedited,1,32,0.17,5,2
2,expedited,1,33,0.18,5,2
2,expedited,1,34,0.18,5,2
2,expedited,1,35,0.19,5,2
2,expedited,1,36,0.18,5,2
2,expedited,1,37,0.18,5,2
2,expedited,1,38,0.14,5,2
2,expedited,1,39,0.18,5,2
2,expedited,1,40,0.19,5,2
4,expedited,1,1,0.17,7,4
4,expedited,1,2,0.18,7,4
4,expedited,1,3,0.18,7,4
4,expedited,1,4,0.17,7,4
4,expedited,1,5,0.18,7,4
4,expedited,1,6,0.13,7,4
4,expedited,1,7,0.19,7,4
4,expedited,1,8,0.14,7,4
4,expedited,1,9,0.19,7,4
4,expedited,1,10,0.17,7,4
4,expedited,1,11,0.19,7,4
4,expedited,1,12,0.19,7,4
4,expedited,1,13,0.19,7,4
4,expedited,1,14,0.14,7,4
4,expedited,1,15,0.20,7,4
4,expedited,1,16,0.20,7,4
4,expedited,1,17,0.19,7,4
4,expedited,1,18,0.19,7,4
4,expedited,1,19,0.18,7,4
4,expedited,1,20,0.19,7,4
4,expedited,1,21,0.18,7,4
4,expedited,1,22,0.19,7,4
4,expedited,1,23,0.18,7,4
4,expedited,1,24,0.19,7,4
4,expedited,1,25,0.13,7,4
4,expedited,1,26,0.19,7,4
4,expedited,1,27,0.19,7,4
4,expedited,1,28,0.19,7,4
4,expedited,1,29,0.13,7,4
4,expedited,1,30,0.16,7,4
4,expedited,1,31,0.18,7,4
4,expedited,1,32,0.19,7,4
4,expedited,1,33,0.13,7,4
4,expedited,1,34,0.18,7,4
4,expedited,1,35,0.18,7,4
4,expedited,1,36,0.19,7,4
4,expedited,1,37,0.12,7,4
4,expedited,1,38,0.14,7,4
4,expedited,1,39,0.17,7,4
4,expedited,1,40,0.13,7,4
8,expedited,1,1,0.19,11,8
8,expedited,1,2,0.20,11,8
8,expedited,1,3,0.18,11,8
8,expedited,1,4,0.16,11,8
8,expedited,1,5,0.13,11,8
8,expedited,1,6,0.030,11,8
8,expedited,1,7,0.028,11,8
8,expedited,1,8,0.12,11,8
8,expedited,1,9,0.12,11,8
8,expedited,1,10,0.12,11,8
8,expedited,1,11,0.20,11,8
8,expedited,1,12,0.13,11,8
8,expedited,1,13,0.13,11,8
8,expedited,1,14,0.13,11,8
8,expedited,1,15,0.18,11,8
8,expedited,1,16,0.13,11,8
8,expedited,1,17,0.025,11,8
8,expedited,1,18,0.14,10,8
8,expedited,1,19,0.13,11,8
8,expedited,1,20,0.12,11,8
8,expedited,1,21,0.13,11,8
8,expedited,1,22,0.13,10,8
8,expedited,1,23,0.14,11,8
8,expedited,1,24,0.19,11,8
8,expedited,1,25,0.14,11,8
8,expedited,1,26,0.024,11,8
8,expedited,1,27,0.13,11,8
8,expedited,1,28,0.14,11,8
8,expedited,1,29,0.13,11,8
8,expedited,1,30,0.13,10,8
8,expedited,1,31,0.024,11,8
8,expedited,1,32,0.025,10,8
8,expedited,1,33,0.054,10,8
8,expedited,1,34,0.12,11,8
8,expedited,1,35,0.13,11,8
8,expedited,1,36,0.16,10,8
8,expedited,1,37,0.19,11,8
8,expedited,1,38,0.12,11,8
8,expedited,1,39,0.13,10,8
8,expedited,1,40,0.12,10,8
16,expedited,1,1,0.14,15,16
16,expedited,1,2,0.14,14,16
16,expedited,1,3,0.024,12,16
16,expedited,1,4,0.031,16,16
16,expedited,1,5,0.023,16,16
16,expedited,1,6,0.025,14,16
16,expedited,1,7,0.13,14,16
16,expedited,1,8,0.19,13,16
16,expedited,1,9,0.13,13,16
16,expedited,1,10,0.14,16,16
16,expedited,1,11,0.12,15,16
16,expedited,1,12,0.13,17,16
16,expedited,1,13,0.13,14,16
16,expedited,1,14,0.026,14,16
16,expedited,1,15,0.024,15,16
16,expedited,1,16,0.14,15,16
16,expedited,1,17,0.14,16,16
16,expedited,1,18,0.13,15,16
16,expedited,1,19,0.14,13,16
16,expedited,1,20,0.025,17,16
16,expedited,1,21,0.024,14,16
16,expedited,1,22,0.12,15,16
16,expedited,1,23,0.16,16,16
16,expedited,1,24,0.035,15,16
16,expedited,1,25,0.025,15,16
16,expedited,1,26,0.20,14,16
16,expedited,1,27,0.12,15,16
16,expedited,1,28,0.025,15,16
16,expedited,1,29,0.025,16,16
16,expedited,1,30,0.14,17,16
16,expedited,1,31,0.024,14,16
16,expedited,1,32,0.026,15,16
16,expedited,1,33,0.20,16,16
16,expedited,1,34,0.12,13,16
16,expedited,1,35,0.026,13,16
16,expedited,1,36,0.025,15,16
16,expedited,1,37,0.030,16,16
16,expedited,1,38,0.13,14,16
16,expedited,1,39,0.024,17,16
16,expedited,1,40,0.029,15,16
32,expedited,1,1,0.027,14,32
32,expedited,1,2,0.026,16,32
32,expedited,1,3,0.12,14,32
32,expedited,1,4,0.19,15,32
32,expedited,1,5,0.12,18,32
32,expedited,1,6,0.13,15,32
32,expedited,1,7,0.025,16,32
32,expedited,1,8,0.16,13,32
32,expedited,1,9,0.12,15,32
32,expedited,1,10,0.12,14,32
32,expedited,1,11,0.025,13,32
32,expedited,1,12,0.027,15,32
32,expedited,1,13,0.028,14,32
32,expedited,1,14,0.14,16,32
32,expedited,1,15,0.027,16,32
32,expedited,1,16,0.032,16,32
32,expedited,1,17,0.17,16,32
32,expedited,1,18,0.14,14,32
32,expedited,1,19,0.15,14,32
32,expedited,1,20,0.19,13,32
32,expedited,1,21,0.19,14,32
32,expedited,1,22,0.14,17,32
32,expedited,1,23,0.13,16,32
32,expedited,1,24,0.036,13,32
32,expedited,1,25,0.032,19,32
32,expedited,1,26,0.13,15,32
32,expedited,1,27,0.024,13,32
32,expedited,1,28,0.13,16,32
32,expedited,1,29,0.16,16,32
32,expedited,1,30,0.13,13,32
32,expedited,1,31,0.13,13,32
32,expedited,1,32,0.13,15,32
32,expedited,1,33,0.029,15,32
32,expedited,1,34,0.026,16,32
32,expedited,1,35,0.14,14,32
32,expedited,1,36,0.15,15,32
32,expedited,1,37,0.13,13,32
32,expedited,1,38,0.13,15,32
32,expedited,1,39,0.12,15,32
32,expedited,1,40,0.027,14,32
64,expedited,1,1,0.027,17,64
64,expedited,1,2,0.030,14,64
64,expedited,1,3,0.026,15,64
64,expedited,1,4,0.027,18,64
64,expedited,1,5,0.028,16,64
64,expedited,1,6,0.025,16,64
64,expedited,1,7,0.18,13,64
64,expedited,1,8,0.12,15,64
64,expedited,1,9,0.027,14,64
64,expedited,1,10,0.24,14,64
64,expedited,1,11,0.036,17,64
64,expedited,1,12,0.12,18,64
64,expedited,1,13,0.23,15,64
64,expedited,1,14,0.25,14,64
64,expedited,1,15,0.13,15,64
64,expedited,1,16,0.14,15,64
64,expedited,1,17,0.12,14,64
64,expedited,1,18,0.14,16,64
64,expedited,1,19,0.026,14,64
64,expedited,1,20,0.12,14,64
64,expedited,1,21,0.14,14,64
64,expedited,1,22,0.17,14,64
64,expedited,1,23,0.13,16,64
64,expedited,1,24,0.030,16,64
64,expedited,1,25,0.026,14,64
64,expedited,1,26,0.12,15,64
